userId,similarUsers
90,12076;10294;11345;6713;3656;8573;4381;580;10337;4995
91,659;8973;9801;4255;9870;10507;7978;671;12886;6245
92,1551;5548;9128;6048;3189;2252;4512;2878;1211;4953
93,2897;9171;9654;2964;5791;4778;4096;8717;1129;12558
94,1280;9742;8023;2676;5644;211;12912;9827;5438;7995
95,6205;1351;12688;5805;12040;9467;3079;3801;10948;9594
96,7717;28;10995;12046;9935;1886;1653;1060;8300;3200
97,991;2275;7581;6837;11258;2438;8634;9237;12760;8321
98,2350;6895;10527;4259;9616;7;134;12893;10415;10036
99,6741;9218;5044;7657;10263;7096;1154;981;461;9037
100,5931;8036;9291;5644;11861;6451;12444;1596;5618;8460
101,12055;5830;9742;9835;6847;11639;12915;369;2747;6852
102,471;389;2861;741;7479;7559;6971;10074;9278;12232
103,6530;5615;3202;5364;5818;1324;3565;10364;12564;4790
104,8501;7112;5418;11890;5209;8576;2318;2017;6554;1580
105,6916;6146;11428;11015;4157;2048;5139;169;3165;10284
106,6780;1997;319;11850;8427;6325;5882;2374;7864;12163
107,5575;7963;9231;4842;9655;12547;2725;1828;2909;2928
108,5417;5003;3182;2665;6059;8130;2012;5271;3707;9464
109,11266;9682;4441;4360;1671;1053;7154;2160;12009;3736
110,11432;2091;2519;11686;4407;12743;3264;3914;1082;3873
111,31;12031;4504;1435;9972;5125;1459;5994;7409;1299
112,7692;10552;1417;8571;8437;11638;7303;6127;11999;7695
113,11916;12089;10862;3299;2757;2977;8561;5315;3742;1293
114,5039;12719;10327;12340;5501;2936;6055;10948;11707;9589
115,8204;5671;6150;3665;9479;7192;2918;6489;663;3359
116,6249;10098;12787;12326;10812;237;8294;3728;9298;83
117,1806;1562;7761;10394;1824;5434;10062;4705;8734;11727
118,9816;3502;12752;2706;8809;12162;11701;647;924;164
119,8273;4629;7679;242;11648;12518;10977;4825;6125;657
120,3733;7169;12546;9909;2763;10218;6709;8152;8165;1750
121,7845;705;10057;10051;1007;3567;8831;4615;3226;11632
122,11364;6647;9494;10321;10065;277;7493;6964;12730;8083
123,215;8819;1152;7160;5908;2381;9312;5271;2017;10760
124,10119;10656;1930;4067;7106;2784;9250;6298;5155;9144
125,12922;9714;2326;1483;9336;12045;9453;7931;4971;10061
126,11731;7018;573;1198;6783;7220;9625;4825;11631;2069
127,8343;11221;10408;3697;6103;3432;76;539;12503;9321
128,10318;3283;2246;8008;3585;11730;326;5281;335;1317
129,9584;10797;5859;6014;1361;4310;4093;7007;3118;889
130,8594;4736;12032;11110;1168;9110;1794;265;12316;12734
131,628;9828;6953;5235;11595;7749;571;6425;7894;1473
132,5010;4185;8027;1091;3403;4561;1444;7964;8844;11006
133,9744;10320;1547;6823;8058;3275;2887;608;2152;12282
134,1267;3727;1431;5104;1500;98;7252;6113;12768;11811
135,1634;502;10484;1475;11418;920;5387;9238;10036;5130
136,1281;4063;7033;3539;4851;7914;7287;1182;1112;3567
137,7375;12659;2529;12684;4059;12464;1864;8241;2105;3720
138,5399;8693;11476;11861;4982;7393;3357;12466;10498;5224
139,8414;1759;826;9358;11142;7867;764;3078;11792;5612
140,411;1692;11951;10323;3314;8989;4837;1934;4663;11710
141,7883;3713;6504;6727;9203;4278;4995;4757;8399;11621
142,803;6855;4242;11188;10131;12010;7770;6198;898;9617
143,6871;3750;3035;9342;3028;8201;7019;1680;951;506
144,6852;4868;6868;1308;4243;12760;10557;11202;744;7734
145,3015;5734;12349;11790;1669;10820;9771;2139;9240;11807
146,5430;12160;3437;6216;4935;6968;3359;2287;9225;5761
147,9545;947;3136;12099;11946;6564;11345;4153;10421;533
148,5863;7577;657;3263;1606;84;6323;8957;1126;8859
149,5397;4002;4856;2347;9824;12084;7355;5629;1525;11144
150,7906;1707;3338;3686;2849;12753;8673;3889;5275;11336
151,11336;1151;3476;49;3406;18;6010;7434;9511;8413
152,12220;6060;10684;5716;11456;3453;6137;9817;6030;10816
153,8787;6577;11413;1641;8635;10152;2325;1791;1319;12378
154,1684;6713;6510;4718;3160;2585;781;5263;4872;10590
155,6207;5607;11665;8988;4303;957;9299;10789;9356;8272
156,11355;6399;11627;4727;11970;12908;6756;3730;9665;6100
157,9401;7883;6399;3208;3983;1427;7220;8832;5510;5970
