itemId,user_count
28157,409
67261,396
5577,395
28706,391
66513,383
77147,363
8595,359
91199,339
23379,337
64607,335
31,332
67909,331
38211,331
73654,329
2766,325
90866,325
76329,315
1985,314
53511,314
86639,313
57640,313
61704,311
8735,310
73535,307
34463,305
804,304
12041,302
67789,301
91663,299
81528,296
71183,296
27436,296
61479,295
91111,289
59196,289
14780,288
72589,288
76139,286
84921,286
44571,285
30432,285
76702,285
68299,284
11662,283
55477,283
6708,281
25722,279
63650,278
74767,278
21502,277
11750,275
31204,275
49355,275
18215,275
64151,274
13516,273
72613,273
35107,272
69054,272
95388,272
52144,271
100836,269
69633,269
21304,267
98240,267
14813,266
2029,265
92173,261
14713,260
11983,259
8507,258
34543,258
100237,257
18462,257
52812,257
90604,256
32048,255
41130,255
63349,254
31109,253
69776,251
98338,250
43319,250
11055,249
99943,249
64706,249
10464,249
43630,248
70327,247
83587,247
7772,245
31988,245
70547,244
9589,244
83567,244
59163,244
69638,243
71816,242
58993,242
98469,242
74145,241
3480,241
96935,241
70731,241
50211,241
36752,240
40972,240
6658,239
45617,239
35930,239
92275,238
14531,238
85726,238
62861,237
19781,237
41406,236
68664,236
11323,236
37663,236
34995,235
53691,235
90623,234
99835,233
73316,232
55154,231
41594,231
73469,231
99237,231
94494,231
3839,231
79316,230
78974,229
73780,229
55863,229
3550,228
34753,228
23659,228
92591,228
60585,228
65403,227
57411,227
47138,227
25176,227
46795,227
82398,226
38141,226
46230,226
88770,225
3930,225
66917,225
24360,225
68037,225
93073,225
13456,224
86027,224
10326,222
5115,222
93449,222
89952,222
86903,221
15863,221
6282,221
18148,221
14584,221
25812,221
2295,221
20374,221
55793,220
47876,219
99918,219
46906,219
89137,218
15222,217
77658,217
10572,217
63868,217
74695,217
62310,216
10350,216
8149,216
36047,216
26978,216
18607,216
94159,215
2083,213
17381,213
101354,213
526,213
70585,213
7891,212
60729,212
100614,212
16369,211
66089,210
45717,210
94534,210
87620,209
28332,208
97643,208
95331,207
22653,207
92306,206
37724,206
528,206
96392,206
84016,205
38389,205
35564,205
31477,204
45119,204
12797,204
2959,204
40651,204
