itemId,length,comment,like,watch,share,name,userId
1,112,4916,11380,1750690,4847,洗衣机在家很闷，改装一下出去溜溜,7387; 8949; 7988; 6884; 4958; 4517; 1210; 7980; 9900; 2909; 4070; 4131; 6639; 1744; 2046; 7777; 8677; 6012; 128; 293; 1774; 7716; 8139; 5386
2,553,1378,17611,712698,1471,行楷的书写速度能有多快？,1217; 991; 4755; 8079; 1279; 6230; 7215; 4677; 3620; 4136
3,525,1889,20172,325711,1300,滕王阁序（二）,7485; 368
4,901,23,86,223181,127,冻伤手的工艺,3249; 965; 6922; 7314; 8210; 3044; 6680; 1939; 4182; 5934; 228; 2631; 2572; 2787; 420; 5751; 5291; 8636; 972; 9671; 326; 171; 9250; 8224; 1944; 6554; 4436; 6281; 3285; 1649; 4498; 7542; 2707; 3492; 7929; 265; 7738; 4163; 7859; 7829; 3309; 4725
